lat,lon,deltaT,scenario
-84.86197029204237,110.625,0.7872772,Low Emissions
-84.86197029204237,112.5,0.7404022,Low Emissions
-84.86197029204237,114.375,0.7241211,Low Emissions
-84.86197029204237,116.25,0.7180939,Low Emissions
-84.86197029204237,118.125,0.7578125,Low Emissions
-84.86197029204237,120.0,0.75180054,Low Emissions
-84.86197029204237,121.875,0.7879181,Low Emissions
-84.86197029204237,123.75,0.78157043,Low Emissions
-84.86197029204237,125.625,0.83413696,Low Emissions
-84.86197029204237,127.5,0.82585144,Low Emissions
-84.86197029204237,129.375,0.8806915,Low Emissions
-84.86197029204237,131.25,0.86328125,Low Emissions
-84.86197029204237,133.125,0.87612915,Low Emissions
-84.86197029204237,135.0,0.9645233,Low Emissions
-84.86197029204237,136.875,1.0083008,Low Emissions
-84.86197029204237,138.75,1.0551758,Low Emissions
-84.86197029204237,140.625,1.1227264,Low Emissions
-84.86197029204237,142.5,1.2254181,Low Emissions
-84.86197029204237,144.375,1.2618866,Low Emissions
-84.86197029204237,146.25,1.2141876,Low Emissions
-84.86197029204237,148.125,1.2607422,Low Emissions
-84.86197029204237,150.0,1.2264099,Low Emissions
-84.86197029204237,151.875,1.2462463,Low Emissions
-84.86197029204237,153.75,1.3141327,Low Emissions
-84.86197029204237,155.625,1.306488,Low Emissions
-84.86197029204237,157.5,1.284668,Low Emissions
-84.86197029204237,159.375,1.3183594,Low Emissions
-84.86197029204237,161.25,1.3323517,Low Emissions
-84.86197029204237,163.125,1.3398438,Low Emissions
-84.86197029204237,165.0,1.3401794,Low Emissions
-84.86197029204237,166.875,1.3164062,Low Emissions
-84.86197029204237,168.75,1.3141327,Low Emissions
-84.86197029204237,170.625,1.2946014,Low Emissions
-84.86197029204237,172.5,1.2146759,Low Emissions
-84.86197029204237,174.375,1.2242737,Low Emissions
-84.86197029204237,176.25,1.1790466,Low Emissions
-84.86197029204237,178.125,1.1188202,Low Emissions
-84.86197029204237,180.0,1.0735779,Low Emissions
-84.86197029204237,181.875,1.0183868,Low Emissions
-84.86197029204237,183.75,1.0011292,Low Emissions
-84.86197029204237,185.625,0.94174194,Low Emissions
-84.86197029204237,187.5,0.8027344,Low Emissions
-84.86197029204237,189.375,0.7960663,Low Emissions
-84.86197029204237,191.25,0.7578125,Low Emissions
-84.86197029204237,193.125,0.72753906,Low Emissions
-84.86197029204237,195.0,0.70654297,Low Emissions
-84.86197029204237,196.875,0.6689453,Low Emissions
-84.86197029204237,198.75,0.64160156,Low Emissions
-84.86197029204237,200.625,0.59407043,Low Emissions
-84.86197029204237,202.5,0.591156,Low Emissions
-84.86197029204237,204.375,0.53889465,Low Emissions
-84.86197029204237,206.25,0.48420715,Low Emissions
-84.86197029204237,208.125,0.43847656,Low Emissions
-84.86197029204237,210.0,0.37646484,Low Emissions
-84.86197029204237,211.875,0.3334961,Low Emissions
-84.86197029204237,213.75,0.2680664,Low Emissions
-84.86197029204237,215.625,0.17236328,Low Emissions
-84.86197029204237,217.5,0.110183716,Low Emissions
-84.86197029204237,219.375,0.06413269,Low Emissions
-84.86197029204237,221.25,-0.001953125,Low Emissions
-84.86197029204237,223.125,-0.062332153,Low Emissions
-84.86197029204237,225.0,-0.115722656,Low Emissions
-84.86197029204237,226.875,-0.15348816,Low Emissions
-84.86197029204237,228.75,-0.21272278,Low Emissions
-84.86197029204237,230.625,-0.22151184,Low Emissions
-84.86197029204237,232.5,-0.24887085,Low Emissions
-84.86197029204237,234.375,-0.26953125,Low Emissions
-84.86197029204237,236.25,-0.3136444,Low Emissions
-84.86197029204237,238.125,-0.27767944,Low Emissions
-84.86197029204237,240.0,-0.18603516,Low Emissions
